Under Armour,1,64.99,2024-04-07, 4.5 ,"I was replacing a pair of Sketchers sneakers I hated from the time I bought them. I visited multiple brand shoe stores in the Rehobeth Beach area, but couldn’t find any in extra wide width. I viewed multiple shoes and brands on Amazon’s site and took a chance on these. They arrived on a timely manner, actually earlier than promised. They are well made and top quality at a fair price. At first I was disappointed as they were too snug and considered returning them. I realized I needed to loosen the laces all the way down to allow a better fit and feel. Once I did that, and went on my daily 2 mile walk, the shoes broke in nicely and the fit is fine now. The collar around the ankle also appeared, at first, to be too bulky, but, with the daily wear, it too loosened, and I now have a comfortable and stylish sneaker. Mine are the gray with the synergy green highlights."
Under Armour,1,64.99,2024-01-10, 4.5 ,"If you're on the lookout for a pair of sneakers that blend style, comfort, and performance seamlessly, look no further than the Under Armour Men's Charged Assert 10. As someone who enjoys staying active, these shoes have become my go-to, and here's why.Comfort is where these shoes shine. The cushioning feels like walking on clouds, absorbing the impact and keeping my feet happy during any workout. Whether I'm hitting the gym or going for a jog, these shoes have my back (or should I say, feet).These shoes are tough cookies. I've put them through their paces, and they've held up like a champ. The quality materials and reinforced areas mean they can handle the regular wear and tear, making them a reliable choice for the long haul.Getting the right size is a breeze, and they hug my feet just right. The laces are easy to adjust for a snug fit, making sure they feel comfortable without any weird pressure points.In a nutshell, the Under Armour Men's Charged Assert 10 is a winner. Whether you're an exercise enthusiast or just want a reliable and good-looking pair of sneakers for daily wear, these shoes tick all the boxes. Under Armour knows how to make quality gear, and the Charged Assert 10 is proof of their commitment to making awesome sneakers for all of us on the move. Highly recommended! ⚡👟"
Under Armour,1,64.99,2024-04-25, 4.5 ,"These are comfortable and fit me well. They're very affordable.I have very picky feet, and tried all different kinds to try and avoid pain. These work very well for my needs - I put alot of miles on shoes.Glad to finally have a reliable go-to, just ordered another pair for reserve!"
Under Armour,1,64.99,2024-04-23, 4.5 ,shoes look bigger and chunkier in person than i would like. they are comfortable though and fit nicely. supportive and comfortable. they sort of remind me of a shoe an older man would wear.
Under Armour,1,64.99,2024-04-12, 4.5 ,"My teen son's favorite pair of shoes so far (and he killed MANY pairs). They are super comfy, good support, sturdy. So far he has worn them for 2 months and they still look and feel great! Ordered Wide - maybe that's why he's extra comfortable in them. Recommend!"
Under Armour,1,64.99,2024-04-12, 4.5 ,"The Under Armour Men's Charged Assert sneakers are an absolute game-changer! I've put these shoes through their paces, and they've exceeded my expectations on every front. Comfort? Check. Breathability? Double check. With their sleek design, they're not only functional but also look fantastic. Plus, the support they offer is top-notch, making them perfect for any activity, whether it's hitting the gym or running errands around town. Versatility is the name of the game here, folks. If you're in the market for a pair of sneakers that deliver in every department, look no further than the Charged Assert. Highly recommend!"
Under Armour,1,64.99,2024-04-26, 4.5 ,Fits well. Nice sole. Very comfortable. Allows for good circulation to my feet still.
Under Armour,1,64.99,2024-04-23, 4.5 ,"Looks great, very comfortable fits great!"
Under Armour,2,54.95,2023-12-11, 4.6 ,"I’ve been in the market for new walking shoes for a while now and have tried on at least a dozen pairs before these. It was immediately apparent to me that these were the winning pair.Pros-Light weight but structurally strongThe heel cup is pronounced holding my foot in place nicely even when unlacedGreat shock absorptionMiddle of the road arch support, it neither pushes into my foot nor does it leave my arch floatingThe shoe widens out at the ball of the foot just right to support the sides of my feet without squeezing them.Cons-Basic insole, that’s comfortable but not as padded or advanced as other shoesLow rise ankle socks are a no no with these shoes as the heel cup I enjoy will suck your sock into the shoe and off your heel.All in all, for $40-$55 these are great shoes. They don’t even feel like you’re wearing shoes. The wife likes the look and feel so much she made me order her a woman’s pair of the same shoe. You can’t go wrong with this shoeUpdate 2/26/24 have worn these consistently and they look and feel new still. They handled a full week at Disney World averaging 25,000 steps per day at the parks. My feet were never tired or sore. No blisters chafing, or irritation from movement in the shoe because they are formed wonderfully around and behind the heel. I’m ordering a second pair for whenever these do wear out. My favorite pair of shoes in a long time. Genuinely enjoy these more than my brooks (which are still wonderful) and my ON cloud shoes which I feel are hyped much more than their actual quality and worth in my humble opinion"
Under Armour,2,54.95,2024-03-29, 4.6 ,Fit as expected. Super comfortable. Durable. Stylish too! Will buy again!
