Under Armour,2024-03-18,"Great toe spread, great cushion and support. Almost feel a spring in my step. Great for the gym too which is why I got them. My feet stay in place when doing planks meaning my toes are not pushing into the floor so no toe cramps. I am glad I got them, I don't run unfortunately but they are great on the stair climber and could easily stand on hard floor for hours in them. My foot is a 12.5 so size 13 worked great although if my foot were an actual 13 I am not sure if they would fit perfect."
Under Armour,2024-03-29,I have several pairs of these shoes in several different colors. Thes shoes are by far the most comfortable shoes I have ever owned. I love that they come in a 4 EE because I have a wide foot. I always talked about how comfortable my Sketchers shoes were until I bought these Under Armour shoes. Now they are the only shoes I will wear. They hold up very well and they are nice looking shoes . I would recommend them to everyone.
Under Armour,2023-12-20,"I absolutely love the way these shoes fit, and that means a lot as I have difficulty finding shoes that fit like these. In particular for me the low/neutral arch fits much better than so many shoes with higher arches. And the new generation of the Charged Assert line, which I've been wearing for years, has some great improvements. A wider base and more cushioning from the heel through the toe feels great. I feel like it is even promoting a better roll of my foot from heel to toe as I walk."
Under Armour,2023-06-17,"I need extra wide (4E) fit and have only found a couple shoes that do the job and one discontinued recently. I tried on 4 other brands before I found these gems (my last chance). They felt a little short in the store however I took them home anyways and wore them a little to try them out. I could of lived with them but when I tried 1/2 size larger (10 to 10 1/2) wow I had the right fit!What people mean by 'old man shoes""? Some feet run wide. That is not cool to say that."
Under Armour,2024-01-12,My husband is 6’9” with a size 15 shoe. So shoe shopping for him can be a pain. Finding these in his size with an extra wide option was amazing. He’s worn them almost every day since Christmas. He reports they are super comfy and supportive. 0 complaints at this time. They are also really sharp looking and match most outfits.
Under Armour,2024-03-28,"I was happy to finally get a pair of shoes under the 4E category, however unfortunately this pair seem to hurt my last toes, so it is vlreally uncomfortable when I walk longer distances.I did not have this problem w my earlier pair.It is also not as cushiony as I wld have loved it, unlike New Balance which I tried.Anyway, what can I do to ease the pain on my toes?Thank u"
Under Armour,2024-03-12,"My son is over 6 foot tall and over 300 pounds and the shoe works very well. He’s got a 13 four wide foot which is extremely difficult to fit fits like a glove. He can put them on and take right off with them. There’s no breaking, which I don’t believe is true for shoes anyway they should feel good right off the get-go, but this is probably our Third year that we found under Armour shoes for him and their fantastic"
Under Armour,2024-04-09,I have difficulty with medium width shoes so decided to try these extra wide shoes. A very good fit and styling. I would have prefer a little more cushioning but these shoes are very nice. I would highly prefer that Under Armour offer more color selections in wide and extra wide widths.
Under Armour,2023-11-25,"I ordered the mod Grey size 11, the fit is fine, it seems to run a little small compared to basketball shoes I have from UA, but not much. The reason for the low review is the color of what is on the website, and what I received are not the same. See pictures attached. The website shows a Grey bottom sole, but what I received is a completely white sole."
Under Armour,2023-12-18,This is my second pair of these sneakers. I bought the navy and white pair in a shoe wearhouse store about 2 years ago and they're still in use. I bought this black and white pair in the exact same size from the website and they fit exactly the same and were $25 to $40 less than in the store. Great sneaker.
